,Highest Bid,Highest Bidder,Second Highest Bid,Second Highest Bidder
0,NEW EPOCH,NEW EPOCH,NEW EPOCH,NEW EPOCH
1,0.0,None,0.0,None
2,1097.9786785643946,EarlyBidder,793.167204573955,EarlyBidder
3,1097.9786785643946,EarlyBidder,793.167204573955,EarlyBidder
4,1097.9786785643946,EarlyBidder,793.167204573955,EarlyBidder
5,1097.9786785643946,EarlyBidder,793.167204573955,EarlyBidder
6,1097.9786785643946,EarlyBidder,919.4520696986754,EarlyBidder
7,1097.9786785643946,EarlyBidder,919.4520696986754,EarlyBidder
8,1097.9786785643946,EarlyBidder,1019.5661047506526,EarlyBidder
9,1097.9786785643946,EarlyBidder,1064.343970242515,EarlyBidder
10,1182.9176584848153,EarlyBidder,1097.9786785643946,EarlyBidder
11,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
12,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
13,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
14,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
15,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
16,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
17,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
18,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
19,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
20,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
21,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
22,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
23,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
24,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
25,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
26,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
27,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
28,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
29,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
30,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
31,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
32,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
33,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
34,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
35,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
36,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
37,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
38,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
39,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
40,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
41,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
42,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
43,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
44,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
45,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
46,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
47,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
48,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
49,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
50,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
51,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
52,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
53,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
54,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
55,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
56,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
57,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
58,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
59,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
60,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
61,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
62,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
63,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
64,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
65,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
66,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
67,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
68,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
69,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
70,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
71,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
72,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
73,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
74,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
75,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
76,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
77,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
78,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
79,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
80,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
81,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
82,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
83,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
84,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
85,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
86,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
87,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
88,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
89,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
90,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
91,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
92,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
93,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
94,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
95,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
96,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
97,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
98,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
99,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
100,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
101,1182.9176584848153,EarlyBidder,1111.2968498159926,EarlyBidder
102,NEW EPOCH,NEW EPOCH,NEW EPOCH,NEW EPOCH
103,0.0,None,0.0,None
104,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
105,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
106,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
107,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
108,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
109,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
110,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
111,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
112,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
113,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
114,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
115,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
116,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
117,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
118,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
119,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
120,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
121,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
122,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
123,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
124,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
125,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
126,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
127,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
128,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
129,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
130,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
131,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
132,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
133,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
134,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
135,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
136,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
137,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
138,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
139,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
140,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
141,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
142,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
143,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
144,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
145,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
146,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
147,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
148,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
149,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
150,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
151,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
152,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
153,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
154,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
155,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
156,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
157,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
158,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
159,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
160,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
161,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
162,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
163,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
164,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
165,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
166,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
167,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
168,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
169,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
170,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
171,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
172,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
173,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
174,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
175,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
176,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
177,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
178,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
179,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
180,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
181,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
182,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
183,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
184,729.5126002168016,EarlyBidder,592.6410853171553,EarlyBidder
185,729.5126002168016,EarlyBidder,638.5604871677984,SniperBidder
186,729.5126002168016,EarlyBidder,716.310303662189,EarlyBidder
187,729.5126002168016,EarlyBidder,722.8596865457575,SniperBidder
188,743.121733104544,EarlyBidder,738.0217911534236,EarlyBidder
189,830.7756177739178,EarlyBidder,743.121733104544,EarlyBidder
